"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"140",120,"2022-02-07","daytime","rap5",55,"2022-02-07_pm","anc","2022-02-07_pm_rap5"
"141",121,"2022-02-08","daytime","evo1",202,"2022-02-08_pm","evo","2022-02-08_pm_evo1"
"142",122,"2022-02-08","daytime","evo2",123,"2022-02-08_pm","evo","2022-02-08_pm_evo2"
"143",123,"2022-02-08","daytime","evo3",175,"2022-02-08_pm","evo","2022-02-08_pm_evo3"
"144",124,"2022-02-08","daytime","evo4",150,"2022-02-08_pm","evo","2022-02-08_pm_evo4"
"145",125,"2022-02-08","daytime","evo5",165,"2022-02-08_pm","evo","2022-02-08_pm_evo5"
"146",126,"2022-02-08","daytime","rap1",42,"2022-02-08_pm","anc","2022-02-08_pm_rap1"
"147",127,"2022-02-08","daytime","rap2",43,"2022-02-08_pm","anc","2022-02-08_pm_rap2"
"148",128,"2022-02-08","daytime","rap3",51,"2022-02-08_pm","anc","2022-02-08_pm_rap3"
"149",129,"2022-02-08","daytime","rap4",63,"2022-02-08_pm","anc","2022-02-08_pm_rap4"
"150",130,"2022-02-08","daytime","rap5",78,"2022-02-08_pm","anc","2022-02-08_pm_rap5"
"151",1061,"2022-02-08","overnight","evo1",107,"2022-02-08_am","evo","2022-02-08_am_evo1"
"152",1062,"2022-02-08","overnight","evo2",82,"2022-02-08_am","evo","2022-02-08_am_evo2"
"153",1063,"2022-02-08","overnight","evo3",116,"2022-02-08_am","evo","2022-02-08_am_evo3"
"154",1064,"2022-02-08","overnight","evo4",138,"2022-02-08_am","evo","2022-02-08_am_evo4"
"155",1065,"2022-02-08","overnight","evo5",80,"2022-02-08_am","evo","2022-02-08_am_evo5"
"156",1066,"2022-02-08","overnight","rap1",137,"2022-02-08_am","anc","2022-02-08_am_rap1"
"157",1067,"2022-02-08","overnight","rap2",159,"2022-02-08_am","anc","2022-02-08_am_rap2"
"158",1068,"2022-02-08","overnight","rap3",219,"2022-02-08_am","anc","2022-02-08_am_rap3"
"159",1069,"2022-02-08","overnight","rap4",168,"2022-02-08_am","anc","2022-02-08_am_rap4"
"160",1070,"2022-02-08","overnight","rap5",114,"2022-02-08_am","anc","2022-02-08_am_rap5"
"161",131,"2022-02-09","overnight","evo1",138,"2022-02-09_am","evo","2022-02-09_am_evo1"
"162",132,"2022-02-09","overnight","evo2",157,"2022-02-09_am","evo","2022-02-09_am_evo2"
"163",133,"2022-02-09","overnight","evo3",109,"2022-02-09_am","evo","2022-02-09_am_evo3"
"164",134,"2022-02-09","overnight","evo4",212,"2022-02-09_am","evo","2022-02-09_am_evo4"
"165",135,"2022-02-09","overnight","evo5",147,"2022-02-09_am","evo","2022-02-09_am_evo5"
"166",136,"2022-02-09","overnight","rap1",230,"2022-02-09_am","anc","2022-02-09_am_rap1"
"167",137,"2022-02-09","overnight","rap2",245,"2022-02-09_am","anc","2022-02-09_am_rap2"
"168",138,"2022-02-09","overnight","rap3",193,"2022-02-09_am","anc","2022-02-09_am_rap3"
"169",139,"2022-02-09","overnight","rap4",205,"2022-02-09_am","anc","2022-02-09_am_rap4"
"170",140,"2022-02-09","overnight","rap5",176,"2022-02-09_am","anc","2022-02-09_am_rap5"
"171",1071,"2022-02-09","daytime","evo1",103,"2022-02-09_pm","evo","2022-02-09_pm_evo1"
"172",1072,"2022-02-09","daytime","evo2",88,"2022-02-09_pm","evo","2022-02-09_pm_evo2"
"173",1073,"2022-02-09","daytime","evo3",99,"2022-02-09_pm","evo","2022-02-09_pm_evo3"
"174",1074,"2022-02-09","daytime","evo4",43,"2022-02-09_pm","evo","2022-02-09_pm_evo4"
"175",1075,"2022-02-09","daytime","evo5",73,"2022-02-09_pm","evo","2022-02-09_pm_evo5"
"176",1076,"2022-02-09","daytime","rap1",42,"2022-02-09_pm","anc","2022-02-09_pm_rap1"
"177",1077,"2022-02-09","daytime","rap2",14,"2022-02-09_pm","anc","2022-02-09_pm_rap2"
"178",1078,"2022-02-09","daytime","rap3",33,"2022-02-09_pm","anc","2022-02-09_pm_rap3"
"179",1079,"2022-02-09","daytime","rap4",18,"2022-02-09_pm","anc","2022-02-09_pm_rap4"
"180",1080,"2022-02-09","daytime","rap5",15,"2022-02-09_pm","anc","2022-02-09_pm_rap5"
"181",141,"2022-02-10","daytime","evo1",142,"2022-02-10_pm","evo","2022-02-10_pm_evo1"
"182",142,"2022-02-10","daytime","evo2",65,"2022-02-10_pm","evo","2022-02-10_pm_evo2"
"183",143,"2022-02-10","daytime","evo3",113,"2022-02-10_pm","evo","2022-02-10_pm_evo3"
"184",144,"2022-02-10","daytime","evo4",65,"2022-02-10_pm","evo","2022-02-10_pm_evo4"
"185",145,"2022-02-10","daytime","evo5",102,"2022-02-10_pm","evo","2022-02-10_pm_evo5"
"186",146,"2022-02-10","daytime","rap1",25,"2022-02-10_pm","anc","2022-02-10_pm_rap1"
"187",147,"2022-02-10","daytime","rap2",22,"2022-02-10_pm","anc","2022-02-10_pm_rap2"
